,rft,thresh_0.0,thresh_1.0,thresh_2.0,absolute_difference_0.0,absolute_difference_1.0,absolute_difference_2.0,perc_brainvox_0.0,perc_brainvox_1.0,perc_brainvox_2.0,perc_brainvox_rft,perc_difference_0.0,perc_difference_1.0,perc_difference_2.0
TASK01_CON07_groupA_tstat1.nii.gz,73766,228349,149860,92565,154583,76094,18799,0.9994135231,0.6558912479,0.4051286091,0.322851153,0.6765623701,0.3330400949,0.0822774561
TASK01_CON07_groupB_tstat1.nii.gz,57222,228279,151339,93211,171057,94117,35989,0.9991071546,0.6623643772,0.407955953,0.2504431402,0.7486640144,0.411921237,0.1575128128
TASK01_CON08_groupA_tstat1.nii.gz,61376,228349,151426,94023,166973,90050,32647,0.9994135231,0.6627451495,0.4115098279,0.2686239239,0.7307895992,0.3941212256,0.142885904
TASK01_CON08_groupB_tstat1.nii.gz,45703,228279,154071,96418,182576,108368,50715,0.9991071546,0.6743215031,0.4219920082,0.2000280108,0.7990791437,0.4742934923,0.2219639973
TASK01_CON09_groupA_tstat1.nii.gz,70577,228349,139445,75026,157772,68868,4449,0.9994135231,0.6103079879,0.3283657865,0.3088938783,0.6905196448,0.3014141096,0.0194719082
TASK01_CON09_groupB_tstat1.nii.gz,66325,228279,138410,74233,161954,72085,7908,0.9991071546,0.6057781104,0.3248950688,0.2902841787,0.7088229759,0.3154939317,0.0346108901
TASK02_CON25_groupA_tstat1.nii.gz,73285,228349,174135,126092,155064,100850,52807,0.9994135231,0.7621354762,0.5518660032,0.3207459636,0.6786675595,0.4413895126,0.2311200396
TASK02_CON25_groupB_tstat1.nii.gz,84369,228280,171946,123656,143911,87577,39287,0.9991115313,0.7525548947,0.5412043784,0.3692572314,0.6298542999,0.3832976633,0.1719471471
TASK02_CON26_groupA_tstat1.nii.gz,92141,228349,174932,128642,136208,82791,36501,0.9994135231,0.7656237007,0.5630265709,0.4032728912,0.5961406319,0.3623508095,0.1597536797
TASK02_CON26_groupB_tstat1.nii.gz,97242,228280,172522,125014,131038,75280,27772,0.9991115313,0.75507587,0.5471479279,0.4255984034,0.5735131279,0.3294774666,0.1215495245
TASK02_CON27_groupA_tstat1.nii.gz,0,228349,116611,39631,228349,116611,39631,0.9994135231,0.5103705746,0.1734527295,0,0.9994135231,0.5103705746,0.1734527295
TASK02_CON27_groupB_tstat1.nii.gz,0,228280,106647,32995,228280,106647,32995,0.9991115313,0.4667612032,0.1444089932,0,0.9991115313,0.4667612032,0.1444089932
TASK03_CON19_groupA_tstat1.nii.gz,11537,228349,168876,118653,216812,157339,107116,0.9994135231,0.7391184464,0.5193077822,0.0504939098,0.9489196133,0.6886245366,0.4688138724
TASK03_CON19_groupB_tstat1.nii.gz,21857,228280,161406,108275,206423,139549,86418,0.9991115313,0.706424548,0.4738864598,0.095661384,0.9034501473,0.610763164,0.3782250758
TASK03_CON20_groupA_tstat1.nii.gz,9391,228349,186907,139237,218958,177516,129846,0.9994135231,0.8180346021,0.6093976357,0.0411015262,0.958311997,0.776933076,0.5682961096
TASK03_CON20_groupB_tstat1.nii.gz,10030,228280,181513,134686,218250,171483,124656,0.9991115313,0.7944267188,0.5894793048,0.0438982331,0.9552132981,0.7505284857,0.5455810717
TASK03_CON22_groupA_tstat1.nii.gz,52167,228349,183942,138485,176182,131775,86318,0.9994135231,0.8050577067,0.6061063624,0.2283189559,0.7710945672,0.5767387508,0.3777874065
TASK03_CON22_groupB_tstat1.nii.gz,40255,228280,186473,142829,188025,146218,102574,0.9991115313,0.8161351173,0.6251187178,0.1761837861,0.8229277452,0.6399513312,0.4489349317
TASK04_CON61_groupA_tstat1.nii.gz,154834,228349,188632,151998,73515,33798,-2836,0.9994135231,0.825584398,0.6652486181,0.6776609201,0.321752603,0.1479234779,-0.012412302
TASK04_CON61_groupB_tstat1.nii.gz,144955,228280,186913,148255,83325,41958,3300,0.9991115313,0.8180608623,0.6488666553,0.6344235676,0.3646879637,0.1836372947,0.0144430877
TASK04_CON62_groupA_tstat1.nii.gz,78600,228349,152061,89037,149749,73461,10437,0.9994135231,0.6655243497,0.3896876354,0.3440080881,0.655405435,0.3215162616,0.0456795473
TASK04_CON62_groupB_tstat1.nii.gz,60424,228280,144180,79371,167856,83756,18947,0.9991115313,0.6310316304,0.3473825186,0.2644573119,0.7346542194,0.3665743184,0.0829252067
TASK04_CON63_groupA_tstat1.nii.gz,17749,228349,133702,68739,210600,115953,50990,0.9994135231,0.5851726387,0.3008495162,0.0776819282,0.9217315949,0.5074907105,0.223167588
TASK04_CON63_groupB_tstat1.nii.gz,18163,228280,140533,75404,210117,122370,57241,0.9991115313,0.6150698301,0.3300201766,0.0794938792,0.9196176521,0.5355759509,0.2505262974
TASK04_CON64_groupA_tstat1.nii.gz,61076,228349,141461,76796,167273,80385,15720,0.9994135231,0.6191314015,0.3361125335,0.2673109159,0.7321026072,0.3518204856,0.0688016176
TASK04_CON64_groupB_tstat1.nii.gz,64631,228280,141614,77147,163649,76983,12516,0.9991115313,0.6198010355,0.3376487529,0.2828700604,0.7162414709,0.3369309752,0.0547786925
TASK04_CON65_groupA_tstat1.nii.gz,36070,228349,127254,60586,192279,91184,24516,0.9994135231,0.5569517207,0.2651663362,0.1578673249,0.8415461982,0.3990843958,0.1072990113
TASK04_CON65_groupB_tstat1.nii.gz,26611,228280,128569,62307,201669,101958,35696,0.9991115313,0.5627070723,0.2726986253,0.1164681836,0.8826433476,0.4462388887,0.1562304417
TASK04_CON66_groupA_tstat1.nii.gz,52524,228349,141888,77303,175825,89364,24779,0.9994135231,0.6210002495,0.338331517,0.2298814354,0.7695320877,0.3911188141,0.1084500816
TASK04_CON66_groupB_tstat1.nii.gz,51977,228280,146000,80606,176303,94023,28629,0.9991115313,0.638997212,0.3527877348,0.2274873842,0.7716241471,0.4115098279,0.1253003506
TASK04_CON67_groupA_tstat1.nii.gz,67479,228349,153743,92253,160870,86264,24774,0.9994135231,0.6728859478,0.4037630808,0.2953348827,0.7040786404,0.3775510651,0.1084281982
TASK04_CON67_groupB_tstat1.nii.gz,55680,228280,151214,88283,172600,95534,32603,0.9991115313,0.6618172906,0.3863876087,0.2436942792,0.755417252,0.4181230113,0.1426933295
TASK04_CON68_groupA_tstat1.nii.gz,152461,228349,186002,147008,75888,33541,-5453,0.9994135231,0.8140736948,0.6434089188,0.667275027,0.3321384961,0.1467986677,-0.0238661082
TASK04_CON68_groupB_tstat1.nii.gz,144807,228280,185066,144722,83473,40259,-85,0.9991115313,0.8099771099,0.6334037981,0.633775817,0.3653357143,0.1762012929,-0.0003720189
TASK04_CON69_groupA_tstat1.nii.gz,62928,228349,136632,64583,165421,73704,1655,0.9994135231,0.5979963498,0.2826599791,0.2754165518,0.7239969713,0.3225797981,0.0072434273
TASK04_CON69_groupB_tstat1.nii.gz,40052,228280,118148,47131,188228,78096,7079,0.9991115313,0.5170975521,0.2062779288,0.1752953174,0.8238162139,0.3418022347,0.0309826114
TASK04_CON70_groupA_tstat1.nii.gz,6322,228349,153508,88518,222027,147186,82196,0.9994135231,0.6718574248,0.3874161316,0.0276694546,0.9717440685,0.6441879702,0.359746677
TASK04_CON70_groupB_tstat1.nii.gz,8669,228280,152083,87959,219611,143414,79290,0.9991115313,0.665620637,0.3849695601,0.0379415536,0.9611699776,0.6276790833,0.3470280065
TASK04_CON71_groupA_tstat1.nii.gz,31493,228349,111328,42607,196856,79835,11114,0.9994135231,0.4872485043,0.1864777686,0.1378352,0.8615783231,0.3494133043,0.0486425686
TASK04_CON71_groupB_tstat1.nii.gz,59801,228280,136445,62850,168479,76644,3049,0.9991115313,0.5971779082,0.2750751697,0.261730632,0.7373808992,0.3354472762,0.0133445377
TASK04_CON72_groupA_tstat1.nii.gz,11897,228349,113905,47305,216452,102008,35408,0.9994135231,0.4985272427,0.2070394734,0.0520695194,0.9473440037,0.4464577233,0.154969954
TASK04_CON72_groupB_tstat1.nii.gz,9312,228280,124909,56022,218968,115597,46710,0.9991115313,0.5466883751,0.2451911083,0.0407557674,0.9583557639,0.5059326077,0.2044353409
TASK04_CON73_groupA_tstat1.nii.gz,35515,228349,129898,58135,192834,94383,22620,0.9994135231,0.5685236976,0.2544390611,0.1554382602,0.8439752629,0.4130854374,0.0990008009
TASK04_CON73_groupB_tstat1.nii.gz,36389,228280,130764,60497,191891,94375,24108,0.9991115313,0.5723139139,0.2647768105,0.1592634901,0.8398480412,0.4130504239,0.1055133205
TASK05_CON13_groupA_tstat1.nii.gz,111605,228349,174742,129652,116744,63137,18047,0.9994135231,0.764792129,0.5674470311,0.4884608483,0.5109526748,0.2763312807,0.0789861828
TASK05_CON13_groupB_tstat1.nii.gz,100156,228280,173687,127213,128124,73531,27057,0.9991115313,0.7601747176,0.5567722763,0.4383520875,0.5607594438,0.3218226301,0.1184201888
TASK05_CON14_groupA_tstat1.nii.gz,103331,228349,179241,136671,125018,75910,33340,0.9994135231,0.7844828718,0.5981670409,0.4522480885,0.5471654346,0.3322347833,0.1459189524
TASK05_CON14_groupB_tstat1.nii.gz,111157,228280,180487,136567,117123,69330,25410,0.9991115313,0.7899362316,0.5977118648,0.4865000897,0.5126114416,0.3034361419,0.1112117751
TASK05_CON15_groupA_tstat1.nii.gz,49414,228349,131562,63120,178935,82148,13706,0.9994135231,0.5758065151,0.2762568769,0.2162699194,0.7831436037,0.3595365957,0.0599869575
TASK05_CON15_groupB_tstat1.nii.gz,10704,228280,121452,50741,217576,110748,40037,0.9991115313,0.5315581466,0.2220777913,0.0468481244,0.9522634069,0.4847100222,0.175229667
TASK06_CON01_groupA_tstat1.nii.gz,115298,228349,170909,124575,113051,55611,9277,0.9994135231,0.7480162638,0.5452265595,0.5046239764,0.4947895467,0.2433922874,0.0406025831
TASK06_CON01_groupB_tstat1.nii.gz,124702,228280,173803,128869,103578,49101,4167,0.9991115313,0.760682414,0.5640200803,0.5457823996,0.4533291317,0.2149000144,0.0182376807
TASK06_CON02_groupA_tstat1.nii.gz,120975,228349,179277,136457,107374,58302,15482,0.9994135231,0.7846404328,0.5972304285,0.5294704639,0.4699430592,0.2551699689,0.0677599646
TASK06_CON02_groupB_tstat1.nii.gz,120370,228280,179541,136178,107910,59171,15808,0.9991115313,0.7857958798,0.5960093311,0.5268225645,0.4722889668,0.2589733153,0.0691867666
TASK06_CON06_groupA_tstat1.nii.gz,51336,228349,144074,81195,177013,92738,29859,0.9994135231,0.6305677009,0.3553656071,0.2246819238,0.7747315993,0.4058857771,0.1306836833
TASK06_CON06_groupB_tstat1.nii.gz,38453,228280,146102,83129,189827,107649,44676,0.9991115313,0.6394436348,0.3638301318,0.1682969849,0.8308145464,0.4711466499,0.1955331469
TASK07_CON31_groupA_tstat1.nii.gz,86665,228349,165970,114418,141684,79305,27753,0.9994135231,0.7263997759,0.5007724864,0.3793061191,0.6201074041,0.3470936569,0.1214663673
TASK07_CON31_groupB_tstat1.nii.gz,88522,228280,169955,118320,139758,81433,29798,0.9991115313,0.7438408984,0.5178503434,0.3874336384,0.6116778929,0.3564072601,0.130416705
TASK07_CON32_groupA_tstat1.nii.gz,77502,228349,158374,103684,150847,80872,26182,0.9994135231,0.6931544141,0.4537930612,0.339202479,0.6602110441,0.3539519352,0.1145905822
TASK07_CON32_groupB_tstat1.nii.gz,86390,228280,167836,116883,141890,81446,30493,0.9991115313,0.7345666855,0.5115610352,0.3781025284,0.6210090029,0.3564641571,0.1334585068
TASK07_CON33_groupA_tstat1.nii.gz,83810,228349,160779,107393,144539,76969,23583,0.9994135231,0.7036803613,0.4700262164,0.3668106599,0.6326028632,0.3368697015,0.1032155565
TASK07_CON33_groupB_tstat1.nii.gz,97423,228280,168369,116680,130857,70946,19257,0.9991115313,0.736899463,0.5106725664,0.4263905849,0.5727209464,0.3105088781,0.0842819816
TASK07_CON34_groupA_tstat1.nii.gz,83408,228349,166198,113928,144941,82790,30520,0.9994135231,0.727397662,0.4986279067,0.3650512292,0.6343622939,0.3623464328,0.1335766775
TASK07_CON34_groupB_tstat1.nii.gz,89515,228280,168007,115991,138765,78492,26476,0.9991115313,0.7353151,0.5076570248,0.3917796948,0.6073318365,0.3435354053,0.11587733
TASK07_CON35_groupA_tstat1.nii.gz,79365,228349,152091,92696,148984,72726,13331,0.9994135231,0.6656556505,0.4057019559,0.3473562585,0.6520572647,0.3182993921,0.0583456975
TASK07_CON35_groupB_tstat1.nii.gz,91278,228280,156606,98583,137002,65328,7305,0.9991115313,0.6854164205,0.431467549,0.3994958049,0.5996157263,0.2859206155,0.0319717441
TASK07_CON36_groupA_tstat1.nii.gz,70258,228349,143272,79956,158091,73014,9698,0.9994135231,0.6270575929,0.3499428842,0.3074977132,0.6919158099,0.3195598797,0.042445171
TASK07_CON36_groupB_tstat1.nii.gz,64247,228280,143648,81964,164033,79401,17717,0.9991115313,0.6287032296,0.3587312842,0.2811894102,0.7179221211,0.3475138194,0.077541874
TASK07_CON37_groupA_tstat1.nii.gz,58355,228349,157458,102304,169994,99103,43949,0.9994135231,0.6891453631,0.4477532245,0.2554019336,0.7440115895,0.4337434295,0.1923512909
TASK07_CON37_groupB_tstat1.nii.gz,76821,228280,160614,106130,151459,83793,29309,0.9991115313,0.702958207,0.4644984528,0.3362219509,0.6628895804,0.3667362561,0.128276502
TASK07_CON38_groupA_tstat1.nii.gz,67796,228349,146491,88335,160553,78695,20539,0.9994135231,0.6411461684,0.3866151968,0.2967222944,0.7026912287,0.344423874,0.0898929023
TASK07_CON38_groupB_tstat1.nii.gz,72660,228280,154402,97884,155620,81742,25224,0.9991115313,0.6757701886,0.4284082404,0.3180105303,0.681101001,0.3577596583,0.1103977101
TASK07_CON39_groupA_tstat1.nii.gz,97416,228349,175685,129639,130933,78269,32223,0.9994135231,0.7689193507,0.5673901341,0.426359948,0.5730535751,0.3425594027,0.1410301861
TASK07_CON39_groupB_tstat1.nii.gz,105544,228280,182185,138257,122736,76641,32713,0.9991115313,0.7973678567,0.6051084763,0.4619337106,0.5371778207,0.3354341461,0.1431747657
TASK07_CON40_groupA_tstat1.nii.gz,82899,228349,162945,109878,145450,80046,26979,0.9994135231,0.7131602789,0.4809022991,0.3628234923,0.6365900308,0.3503367865,0.1180788067
TASK07_CON40_groupB_tstat1.nii.gz,92740,228280,169729,118948,135540,76989,26208,0.9991115313,0.7428517658,0.5205989067,0.4058945304,0.5932170008,0.3369572353,0.1147043763
TASK07_CON41_groupA_tstat1.nii.gz,54757,228349,148486,87093,173592,93729,32336,0.9994135231,0.6498776714,0.3811793438,0.2396545914,0.7597589317,0.4102230801,0.1415247524
TASK07_CON41_groupB_tstat1.nii.gz,52135,228280,148604,87365,176145,96469,35230,0.9991115313,0.6503941212,0.3823698043,0.2281789017,0.7709326296,0.4222152195,0.1541909026
TASK07_CON45_groupA_tstat1.nii.gz,93393,228349,168526,117961,134956,75133,24568,0.9994135231,0.7375866038,0.5162791105,0.4087525111,0.590661012,0.3288340927,0.1075265994
TASK07_CON45_groupB_tstat1.nii.gz,99868,228280,172981,122663,128412,73113,22795,0.9991115313,0.7570847722,0.5368583221,0.4370915998,0.5620199315,0.3199931724,0.0997667223
TASK07_CON46_groupA_tstat1.nii.gz,85225,228349,160978,106908,143124,75753,21683,0.9994135231,0.7045513233,0.4679035202,0.3730036808,0.6264098423,0.3315476425,0.0948998394
TASK07_CON46_groupB_tstat1.nii.gz,87474,228280,166875,114780,140806,79401,27306,0.9991115313,0.7303606833,0.5023568493,0.3828468639,0.6162646674,0.3475138194,0.1195099854
TASK07_CON47_groupA_tstat1.nii.gz,80496,228349,166505,115230,147853,86009,34734,0.9994135231,0.7287413068,0.5043263613,0.3523062985,0.6471072246,0.3764350083,0.1520200628
TASK07_CON47_groupB_tstat1.nii.gz,96676,228280,172834,123735,131604,76158,27059,0.9991115313,0.7564413983,0.5415501372,0.423121195,0.5759903363,0.3333202033,0.1184289422
TASK07_CON48_groupA_tstat1.nii.gz,83072,228349,166982,115370,145277,83910,32298,0.9994135231,0.7308289895,0.5049390983,0.3635806603,0.6358328628,0.3672483292,0.141358438
TASK07_CON48_groupB_tstat1.nii.gz,91082,228280,171697,122948,137198,80615,31866,0.9991115313,0.7514650981,0.5381056796,0.3986379731,0.6004735582,0.352827125,0.1394677066
TASK07_CON49_groupA_tstat1.nii.gz,35051,228349,123668,54206,193298,88617,19155,0.9994135231,0.5412568988,0.2372430334,0.1534074745,0.8460060486,0.3878494242,0.0838355589
TASK07_CON49_groupB_tstat1.nii.gz,35412,228280,121709,53058,192868,86297,17646,0.9991115313,0.5326829567,0.2322185896,0.1549874608,0.8441240705,0.3776954959,0.0772311288
TASK07_CON50_groupA_tstat1.nii.gz,25160,228349,122585,54808,203189,97425,29648,0.9994135231,0.53651694,0.2398778027,0.1101176017,0.8892959214,0.4263993382,0.129760201
TASK07_CON50_groupB_tstat1.nii.gz,11754,228280,116962,52685,216526,105208,40931,0.9991115313,0.5119067939,0.230586083,0.0514436523,0.947667879,0.4604631417,0.1791424307
TASK07_CON51_groupA_tstat1.nii.gz,26654,228349,136076,65263,201695,109422,38609,0.9994135231,0.5955629084,0.2856361305,0.1166563814,0.8827571417,0.478906527,0.168979749
TASK07_CON51_groupB_tstat1.nii.gz,39101,228280,127867,61152,189179,88766,22051,0.9991115313,0.5596346336,0.2676435446,0.1711330821,0.8279784492,0.3885015515,0.0965104625
TASK07_CON52_groupA_tstat1.nii.gz,15489,228349,119260,49256,212860,103771,33767,0.9994135231,0.521964435,0.2155784019,0.0677906015,0.9316229216,0.4541738335,0.1477878004
TASK07_CON52_groupB_tstat1.nii.gz,15933,228280,114809,47672,212347,98876,31739,0.9991115313,0.5024837734,0.2086457198,0.0697338533,0.929377678,0.4327499201,0.1389118665
